source,target,prediction
She suffers of chronic neuropathic pain secondary to diabetic peripheral neuropathy affecting bilateral lower extremities.,She suffers from chronic neuropathic pain secondary to diabetic peripheral neuropathy affecting bilateral lower extremities.,"She suffers from chronic neuropathic pain, secondary to diabetic peripheral neuropathy, which affects her bilateral lower extremities."
The laparoscopic cholecystectomy was performed in Monday morning by the hepatobiliary surgical team.,The laparoscopic cholecystectomy was performed on Monday morning by the hepatobiliary surgical team.,The laparoscopic cholecystectomy was performed on Monday morning by the hepatobiliary surgical team.
Orthopedic surgeon advised complete bed rest and elevation of the affected extremity following open reduction internal fixation.,The orthopedic surgeon advised complete bed rest and elevation of the affected extremity following open reduction internal fixation.,"An orthopedic surgeon advised complete bed rest and elevation of the affected extremity, following open reduction and internal fixation."
The registered nurse give the intramuscular injection of vitamin B12 cyanocobalamin in the deltoid muscle.,The registered nurse gave the intramuscular injection of vitamin B12 cyanocobalamin in the deltoid muscle.,The registered nurse gives the intramuscular injection of vitamin B12 (cyanocobalamin) in the deltoid muscle.
He do not take his antihypertensive medications including amlodipine and hydrochlorothiazide regularly as prescribed.,He does not take his antihypertensive medications including amlodipine and hydrochlorothiazide regularly as prescribed.,"He does not take his antihypertensive medications, including amlodipine and hydrochlorothiazide, regularly as prescribed."
The broad-spectrum antibiotic vancomycin was administered on the morning following positive blood culture results.,The broad-spectrum antibiotic vancomycin was administered in the morning following positive blood culture results.,"The broad-spectrum antibiotic vancomycin was administered in the morning, following positive blood culture results."
She were admitted to the coronary care unit yesterday following acute ST-elevation myocardial infarction.,She was admitted to the coronary care unit yesterday following acute ST-elevation myocardial infarction.,"She was admitted to the coronary care unit yesterday, following acute ST-elevation myocardial infarction."
She has nosocomial pneumonia in bilateral lower lobes with pleural effusion and consolidation on chest radiograph.,She has nosocomial pneumonia in the bilateral lower lobes with pleural effusion and consolidation on chest radiograph.,"She has nosocomial pneumonia in both bilateral lower lobes, with pleural effusion and consolidation, on a chest radiograph."
He was discharge in stable condition following successful percutaneous coronary intervention with drug-eluting stent placement.,He was discharged in stable condition following successful percutaneous coronary intervention with drug-eluting stent placement.,"He was discharged in stable condition, following successful percutaneous coronary intervention with drug-eluting stent placement."
Systolic and diastolic blood pressure is in normal range following administration of antihypertensive medication regimen.,The systolic and diastolic blood pressure is in the normal range following administration of antihypertensive medication regimen.,"Systolic and diastolic blood pressures are in the normal range, following administration of an antihypertensive medication regimen."
The patient have pyrexia of 39.2 degrees Celsius accompanied by rigors and profuse diaphoresis.,The patient has pyrexia of 39.2 degrees Celsius accompanied by rigors and profuse diaphoresis.,"The patients have pyrexia of 39.2 degrees Celsius, accompanied by rigors and profuse diaphoresis."
The laboratory results shows significant improvement in hemoglobin A1c levels and fasting glucose concentrations.,The laboratory results show significant improvement in hemoglobin A1c levels and fasting glucose concentrations.,The laboratory results show significant improvement in hemoglobin A1c levels and fasting glucose concentrations.
The gastroenterologist performed endoscopic retrograde cholangiopancreatography to evaluate for choledocholithiasis and pancreatic ductal adenocarcinoma.,The gastroenterologist performed endoscopic retrograde cholangiopancreatography to evaluate for choledocholithiasis and pancreatic ductal adenocarcinoma.,The gastroenterologist performed endoscopic retrograde cholangiopancreatography to evaluate both choledocholithiasis and pancreatic ductal adenocarcinoma.
Echocardiogram demonstrate left ventricular systolic dysfunction with ejection fraction of approximately 35 percent.,Echocardiogram demonstrated left ventricular systolic dysfunction with ejection fraction of approximately 35 percent.,"The echocardiogram demonstrates left ventricular systolic dysfunction, with an ejection fraction of approximately 35%."
The nephrology consult recommend immediate hemodialysis for acute kidney injury with severe uremia and hyperkalemia.,The nephrology consult recommended immediate hemodialysis for acute kidney injury with severe uremia and hyperkalemia.,A nephrology consultant recommends immediate hemodialysis for acute kidney injury with severe uremia and hyperkalemia.
Positron emission tomography scan reveal hypermetabolic activity in mediastinal lymph nodes suggesting possible malignancy.,Positron emission tomography scan revealed hypermetabolic activity in mediastinal lymph nodes suggesting possible malignancy.,"A positron emission tomography scan reveals hypermetabolic activity in mediastinal lymph nodes, suggesting possible malignancy."
The dermatopathology report confirm the diagnosis of basal cell carcinoma with clear surgical margins.,The dermatopathology report confirmed the diagnosis of basal cell carcinoma with clear surgical margins.,The dermatopathology report confirms the diagnosis of basal cell carcinoma with clear surgical margins.
Hematology consultation was arrange for evaluation of pancytopenia and possible myelodysplastic syndrome.,Hematology consultation was arranged for evaluation of pancytopenia and possible myelodysplastic syndrome.,Hematology consultation was arranged for the evaluation of pancytopenia and possible myelodysplastic syndrome.
The ophthalmologist identify diabetic retinopathy with neovascularization requiring immediate panretinal photocoagulation therapy.,The ophthalmologist identified diabetic retinopathy with neovascularization requiring immediate panretinal photocoagulation therapy.,"The ophthalmologist identifies diabetic retinopathy with neovascularization, which requires immediate panretinal photocoagulation therapy"
Patient complain of severe abdominal pain localized to the right lower quadrant consistent with acute appendicitis.,The patient complained of severe abdominal pain localized to the right lower quadrant consistent with acute appendicitis.,"Patients complain of severe abdominal pain, localized to the right lower quadrant, which is consistent with acute appendicitis."
The endocrinologist adjust the insulin dosage following continuous glucose monitoring results and hemoglobin A1c evaluation.,The endocrinologist adjusted the insulin dosage following continuous glucose monitoring results and hemoglobin A1c evaluation.,The endocrinologist adjusts the insulin dosage following continuous glucose monitoring results and a hemoglobin A1c evaluation.
Cardiac catheterization reveal significant three-vessel coronary artery disease requiring urgent coronary artery bypass grafting.,Cardiac catheterization revealed significant three-vessel coronary artery disease requiring urgent coronary artery bypass grafting.,"Cardiac catheterization reveals significant three-vessel coronary artery disease, requiring urgent coronary artery bypass grafting."
The patient experience acute exacerbation of chronic obstructive pulmonary disease with respiratory acidosis and hypercapnia.,The patient experienced acute exacerbation of chronic obstructive pulmonary disease with respiratory acidosis and hypercapnia.,"The patient experienced an acute exacerbation of chronic obstructive pulmonary disease, accompanied by respiratory acidosis and hypercapnia."
Cerebrospinal fluid analysis show elevated white blood cell count and protein levels consistent with bacterial meningitis.,Cerebrospinal fluid analysis showed elevated white blood cell count and protein levels consistent with bacterial meningitis.,"The cerebrospinal fluid analysis shows an elevated white blood cell count and protein levels, which are consistent with bacterial meningitis."
The psychiatrist prescribe sertraline hydrochloride and lorazepam for treatment of major depressive disorder with anxiety.,The psychiatrist prescribed sertraline hydrochloride and lorazepam for treatment of major depressive disorder with anxiety.,"The psychiatrist prescribes sertraline hydrochloride and lorazepam for the treatment of major depressive disorder, including anxiety."
Bone marrow biopsy demonstrate acute lymphoblastic leukemia with Philadelphia chromosome translocation.,Bone marrow biopsy demonstrated acute lymphoblastic leukemia with Philadelphia chromosome translocation.,The bone marrow biopsy demonstrates acute lymphoblastic leukemia with Philadelphia chromosome translocation.
The oncologist recommend combination chemotherapy with carboplatin and paclitaxel for advanced ovarian adenocarcinoma.,The oncologist recommended combination chemotherapy with carboplatin and paclitaxel for advanced ovarian adenocarcinoma.,The oncologist recommends combination chemotherapy with carboplatin and paclitaxel for advanced ovarian adenocarcinoma.
Pulmonary function tests reveal severe restrictive lung disease with decreased forced vital capacity and diffusion capacity.,Pulmonary function tests revealed severe restrictive lung disease with decreased forced vital capacity and diffusion capacity.,"Pulmonary function tests reveal severe restrictive lung disease, with decreased forced vital capacity and diffusion capacity."
The neurologist observe fasciculations and muscle atrophy consistent with amyotrophic lateral sclerosis progression.,The neurologist observed fasciculations and muscle atrophy consistent with amyotrophic lateral sclerosis progression.,The neurologist observes fasciculations and muscle atrophy consistent with amyotrophic lateral sclerosis progression.
Magnetic resonance imaging of the brain show multiple hyperintense lesions in periventricular white matter.,Magnetic resonance imaging of the brain showed multiple hyperintense lesions in periventricular white matter.,Magnetic resonance imaging of the brain shows multiple hyperintense lesions in periventricular white matter.
The rheumatologist diagnose systemic lupus erythematosus based on positive antinuclear antibody and anti-double-stranded DNA levels.,The rheumatologist diagnosed systemic lupus erythematosus based on positive antinuclear antibody and anti-double-stranded DNA levels.,The rheumatologist diagnoses systemic lupus erythematosus based on positive antinuclear antibody and anti-double-stranded DNA levels.
Patient develop acute kidney injury secondary to rhabdomyolysis following prolonged immobilization and dehydration.,The patient developed acute kidney injury secondary to rhabdomyolysis following prolonged immobilization and dehydration.,"Patients develop acute kidney injury secondary to rhabdomyolysis, following prolonged immobilization and dehydration."
The urologist perform transurethral resection of the prostate for benign prostatic hyperplasia causing urinary retention.,The urologist performed transurethral resection of the prostate for benign prostatic hyperplasia causing urinary retention.,"The urologists perform transurethral resections of the prostate for benign prostatic hyperplasia, which can cause urinary retention."
Electromyography and nerve conduction studies confirm the diagnosis of carpal tunnel syndrome with median nerve compression.,Electromyography and nerve conduction studies confirmed the diagnosis of carpal tunnel syndrome with median nerve compression.,Electromyography and nerve conduction studies confirm the diagnosis of carpal tunnel syndrome with median-nerve compression.
The plastic surgeon recommend tissue expander placement followed by autologous breast reconstruction using deep inferior epigastric perforator flap.,The plastic surgeon recommended tissue expander placement followed by autologous breast reconstruction using deep inferior epigastric perforator flap.,"The plastic surgeon recommends tissue expander placement, followed by autologous breast reconstruction, using a deep inferior epigastric perforator flap."
Computed tomography angiography reveal pulmonary embolism in the right lower lobe pulmonary artery with infarction.,Computed tomography angiography revealed pulmonary embolism in the right lower lobe pulmonary artery with infarction.,Computed tomography angiography reveals pulmonary embolism in the right lower lobe pulmonary artery with infarction.
The patient receive intravenous immunoglobulin therapy for treatment of Guillain-Barré syndrome with ascending paralysis.,The patient received intravenous immunoglobulin therapy for treatment of Guillain-Barré syndrome with ascending paralysis.,"The patient receives intravenous immunoglobulin therapy for the treatment of Guillain-Barré syndrome, with ascending paralysis."
Transthoracic echocardiography demonstrate severe aortic stenosis with mean gradient of 45 millimeters of mercury.,Transthoracic echocardiography demonstrated severe aortic stenosis with mean gradient of 45 millimeters of mercury.,Transthoracic echocardiography demonstrates severe aortic stenosis with a mean gradient of 45 millimeters of mercury
The infectious disease specialist recommend intravenous ceftriaxone and vancomycin for treatment of infective endocarditis.,The infectious disease specialist recommended intravenous ceftriaxone and vancomycin for treatment of infective endocarditis.,The infectious disease specialists recommend intravenous ceftriaxone and vancomycin for the treatment of infective endocarditis.
Thyroid function tests show elevated thyroid-stimulating hormone and decreased free thyroxine consistent with hypothyroidism.,Thyroid function tests showed elevated thyroid-stimulating hormone and decreased free thyroxine consistent with hypothyroidism.,"Thyroid function tests show that the levels of thyroid-stimulating hormone are elevated and those of free thyroxine are decreased, which is consistent with hypothyroidism."
The emergency physician diagnose acute coronary syndrome based on elevated troponin levels and electrocardiographic changes.,The emergency physician diagnosed acute coronary syndrome based on elevated troponin levels and electrocardiographic changes.,The emergency physician diagnoses acute coronary syndrome based on elevated troponin levels and electrocardiographic changes.
Liver biopsy specimen reveal hepatocellular carcinoma with moderate differentiation and absence of vascular invasion.,Liver biopsy specimen revealed hepatocellular carcinoma with moderate differentiation and absence of vascular invasion.,"Liver biopsy specimens reveal hepatocellular carcinoma, with moderate differentiation and no vascular invasion."
The anesthesiologist administer general anesthesia with endotracheal intubation for the complex spinal fusion procedure.,The anesthesiologist administered general anesthesia with endotracheal intubation for the complex spinal fusion procedure.,The anesthesiologist administers general anesthesia with endotracheal intubation for the complex spinal fusion procedure.
Fluoroscopic examination show compression fracture of the L2 vertebral body with loss of vertebral height.,Fluoroscopic examination showed compression fracture of the L2 vertebral body with loss of vertebral height.,"A fluoroscopic examination shows a compression fracture of the L2 vertebral body, with loss of vertebral height."
The radiologist report multiple metastatic lesions in the liver parenchyma consistent with colorectal adenocarcinoma spread.,The radiologist reported multiple metastatic lesions in the liver parenchyma consistent with colorectal adenocarcinoma spread.,"The radiologist reports multiple metastatic lesions in the liver parenchyma, consistent with colorectal adenocarcinoma spread."
Arterial blood gas analysis reveal severe metabolic acidosis with compensatory respiratory alkalosis and elevated lactate levels.,Arterial blood gas analysis revealed severe metabolic acidosis with compensatory respiratory alkalosis and elevated lactate levels.,"Arterial blood gas analyses reveal severe metabolic acidosis, with compensatory respiratory alkalosis, and elevated lactate levels."
The pathologist identify invasive ductal carcinoma with estrogen receptor positive and HER2 negative immunohistochemistry results.,The pathologist identified invasive ductal carcinoma with estrogen receptor positive and HER2 negative immunohistochemistry results.,The pathologist identifies invasive ductal carcinoma with estrogen receptor-positive and HER2-negative immunohistochemistry results.
Coronary angiography demonstrate complete occlusion of the left anterior descending artery with collateral circulation formation.,Coronary angiography demonstrated complete occlusion of the left anterior descending artery with collateral circulation formation.,Coronary angiography demonstrates a complete occlusion of the left anterior descending artery with collateral circulation formation.
The patient undergo percutaneous nephrolithotomy for removal of large staghorn calculus in the right renal pelvis.,The patient underwent percutaneous nephrolithotomy for removal of large staghorn calculus in the right renal pelvis.,The patient underwent percutaneous nephrolithotomy for the removal of a large staghorn calculus in the right renal pelvis.
Bronchoscopy with bronchoalveolar lavage reveal Pneumocystis jirovecii pneumonia in the immunocompromised patient.,Bronchoscopy with bronchoalveolar lavage revealed Pneumocystis jirovecii pneumonia in the immunocompromised patient.,Bronchoscopy with bronchoalveolar lavage reveals Pneumocystis jirovecii pneumonia in the immunocompromised patient.
The pediatric cardiologist detect ventricular septal defect with left-to-right shunt and mild pulmonary hypertension.,The pediatric cardiologist detected ventricular septal defect with left-to-right shunt and mild pulmonary hypertension.,The pediatric cardiologist detects ventricular septal defect with a left-to-right shunt and mild pulmonary hypertension.
Electrophysiology study show prolonged QT interval and increased risk for torsades de pointes arrhythmia.,Electrophysiology study showed prolonged QT interval and increased risk for torsades de pointes arrhythmia.,An electrophysiology study shows a prolonged QT interval and increases the risk of torsades de pointes arrhythmias.
The vascular surgeon perform carotid endarterectomy for high-grade stenosis preventing cerebrovascular accident.,The vascular surgeon performed carotid endarterectomy for high-grade stenosis preventing cerebrovascular accident.,The vascular surgeon performs carotid endarterectomy for high-grade stenosis to prevent cerebrovascular accidents.
Magnetic resonance cholangiopancreatography reveal pancreatic ductal dilatation consistent with chronic pancreatitis and exocrine insufficiency.,Magnetic resonance cholangiopancreatography revealed pancreatic ductal dilatation consistent with chronic pancreatitis and exocrine insufficiency.,Magnetic resonance cholangiopancreatography reveals pancreatic ductal dilatation that is consistent with chronic pancreatitis and exocrine insufficiency.
The patient present with acute lymphangitis and cellulitis requiring intravenous antibiotics and surgical drainage.,The patient presented with acute lymphangitis and cellulitis requiring intravenous antibiotics and surgical drainage.,"The patients presented with acute lymphangitis and cellulitis, requiring intravenous antibiotics and surgical drainage."
Colonoscopy examination show multiple adenomatous polyps with high-grade dysplasia requiring endoscopic mucosal resection.,Colonoscopy examination showed multiple adenomatous polyps with high-grade dysplasia requiring endoscopic mucosal resection.,"The colonoscopy examination shows multiple adenomatous polyps with high-grade dysplasia, which require endoscopic mucosal resection."
The otolaryngologist recommend tympanoplasty with ossicular chain reconstruction for chronic otitis media with conductive hearing loss.,The otolaryngologist recommended tympanoplasty with ossicular chain reconstruction for chronic otitis media with conductive hearing loss.,The otolaryngologists recommend tympanoplasty with ossicular chain reconstruction for chronic otitis media with conductive hearing loss.
Patient develop severe thrombocytopenia and neutropenia following chemotherapy with doxorubicin and cyclophosphamide.,The patient developed severe thrombocytopenia and neutropenia following chemotherapy with doxorubicin and cyclophosphamide.,Patients develop severe thrombocytopenia and neutropenia following chemotherapy with doxorubicin and cyclophosphamide.
Duplex ultrasonography reveal deep vein thrombosis in the left popliteal and femoral veins extending proximally.,Duplex ultrasonography revealed deep vein thrombosis in the left popliteal and femoral veins extending proximally.,"Duplex ultrasonography reveals deep vein thrombosis in the left popliteal and femoral veins, extending proximally."
The thoracic surgeon perform video-assisted thoracoscopic surgery for spontaneous pneumothorax with persistent air leak.,The thoracic surgeon performed video-assisted thoracoscopic surgery for spontaneous pneumothorax with persistent air leak.,The thoracic surgeons perform video-assisted thoracoscopic surgery for spontaneous pneumothoraces with persistent air leaks.
Comprehensive metabolic panel show severe hyponatremia and hyperkalemia requiring immediate electrolyte correction.,Comprehensive metabolic panel showed severe hyponatremia and hyperkalemia requiring immediate electrolyte correction.,"A comprehensive metabolic panel shows severe hyponatremia and hyperkalemia, requiring immediate electrolyte correction."
The geneticist identify BRCA1 mutation increasing susceptibility to hereditary breast and ovarian cancer syndrome.,The geneticist identified BRCA1 mutation increasing susceptibility to hereditary breast and ovarian cancer syndrome.,"The geneticist identifies a BRCA1 mutation, which increases the susceptibility to hereditary breast and ovarian cancer syndrome."
Polysomnography study demonstrate severe obstructive sleep apnea with oxygen desaturation and frequent arousals.,Polysomnography study demonstrated severe obstructive sleep apnea with oxygen desaturation and frequent arousals.,"Polysomnography studies demonstrate severe obstructive sleep apnea, with oxygen desaturation and frequent arousals."
The interventional radiologist perform percutaneous transhepatic cholangiography for evaluation of biliary obstruction.,The interventional radiologist performed percutaneous transhepatic cholangiography for evaluation of biliary obstruction.,The interventional radiologists perform percutaneous transhepatic cholangiography for the evaluation of biliary obstruction.
Esophagogastroduodenoscopy reveal grade C esophagitis with Barrett's metaplasia and intestinal dysplasia.,Esophagogastroduodenoscopy revealed grade C esophagitis with Barrett's metaplasia and intestinal dysplasia.,"Esophagogastroduodenoscopy reveals a grade C esophagitis, with Barrett's metaplasia and intestinal dysplasia."
Patient complain of progressive dysphagia and odynophagia suggestive of esophageal carcinoma with mediastinal invasion.,The patient complained of progressive dysphagia and odynophagia suggestive of esophageal carcinoma with mediastinal invasion.,"Patients complain of progressive dysphagia and odynophagia, suggestive of esophageal carcinoma with mediastinal invasion."
The maxillofacial surgeon recommend mandibular reconstruction using fibular free flap following tumor resection.,The maxillofacial surgeon recommended mandibular reconstruction using fibular free flap following tumor resection.,The maxillofacial surgeon recommends mandibular reconstruction using a fibular free flap following tumor resection.
Immunofluorescence microscopy show linear IgA deposition consistent with bullous pemphigoid autoimmune blistering disease.,Immunofluorescence microscopy showed linear IgA deposition consistent with bullous pemphigoid autoimmune blistering disease.,"Immunofluorescence microscopy shows linear IgA deposition, consistent with bullous pemphigoid autoimmune blistering disease."
The perinatologist detect oligohydramnios and intrauterine growth restriction during third-trimester ultrasound examination.,The perinatologist detected oligohydramnios and intrauterine growth restriction during third-trimester ultrasound examination.,The perinatologist detects oligohydramnios and intrauterine growth restriction during a third-trimester ultrasound examination.
Slit-lamp examination reveal anterior uveitis with keratic precipitates and posterior synechiae formation.,Slit-lamp examination revealed anterior uveitis with keratic precipitates and posterior synechiae formation.,Slit-lamp examination reveals anterior uveitis with keratic precipitates and posterior synechiae formation.
Patient experience acute hemolytic transfusion reaction following incompatible blood product administration.,The patient experienced acute hemolytic transfusion reaction following incompatible blood product administration.,The patient experienced an acute hemolytic transfusion reaction following the administration of an incompatible blood product.
The dermatologist diagnose melanoma in situ with irregular borders and asymmetric pigmentation patterns.,The dermatologist diagnosed melanoma in situ with irregular borders and asymmetric pigmentation patterns.,The dermatologist diagnoses melanoma in situ with irregular borders and asymmetric pigmentation patterns.
Holter monitoring show paroxysmal atrial fibrillation with rapid ventricular response and prolonged RR intervals.,Holter monitoring showed paroxysmal atrial fibrillation with rapid ventricular response and prolonged RR intervals.,Holter monitoring shows paroxysmal atrial fibrillation with a rapid ventricular response and prolonged R-R intervals.
The pediatric endocrinologist adjust growth hormone replacement therapy based on insulin-like growth factor levels.,The pediatric endocrinologist adjusted growth hormone replacement therapy based on insulin-like growth factor levels.,The pediatric endocrinologist adjusts growth hormone replacement therapy based on insulin-like growth factor levels.
Computed tomography of the chest demonstrate cavitary lesions consistent with pulmonary tuberculosis infection.,Computed tomography of the chest demonstrated cavitary lesions consistent with pulmonary tuberculosis infection.,Computed tomography of the chest demonstrates cavitary lesions consistent with pulmonary tuberculosis infection.
Patient require emergency cricothyrotomy for severe laryngeal edema and impending respiratory failure.,The patient required emergency cricothyrotomy for severe laryngeal edema and impending respiratory failure.,Patients require emergency cricothyrotomy for severe laryngeal edema and impending respiratory failure.
The reproductive endocrinologist recommend in vitro fertilization with preimplantation genetic testing.,The reproductive endocrinologist recommended in vitro fertilization with preimplantation genetic testing.,The reproductive endocrinologists recommend in vitro fertilization with preimplantation genetic testing.
Fundoscopic examination show papilledema and flame-shaped hemorrhages consistent with malignant hypertensive retinopathy.,Fundoscopic examination showed papilledema and flame-shaped hemorrhages consistent with malignant hypertensive retinopathy.,"A fundoscopic examination shows papilledema and flame-shaped hemorrhages, which are consistent with malignant hypertensive retinopathy."
The hand surgeon perform tendon transfer and joint arthrodesis for severe rheumatoid arthritis deformities.,The hand surgeon performed tendon transfer and joint arthrodesis for severe rheumatoid arthritis deformities.,The hand surgeons perform tendon transfers and joint arthrodesises for severe rheumatoid arthritis deformities.
Electrocorticography reveal epileptogenic focus in the left temporal lobe requiring surgical resection.,Electrocorticography revealed epileptogenic focus in the left temporal lobe requiring surgical resection.,"Electrocorticography reveals an epileptogenic focus in the left temporal lobe, requiring surgical resection."
Patient develop Stevens-Johnson syndrome following administration of phenytoin and carbamazepine anticonvulsants.,The patient developed Stevens-Johnson syndrome following administration of phenytoin and carbamazepine anticonvulsants.,Patients developed Stevens-Johnson syndrome following the administration of phenytoin and carbamazepine anticonvulsants.
The radiation oncologist recommend intensity-modulated radiation therapy for locally advanced prostate adenocarcinoma.,The radiation oncologist recommended intensity-modulated radiation therapy for locally advanced prostate adenocarcinoma.,The radiation oncologists recommend intensity-modulated radiation therapy for locally advanced prostate adenocarcinoma.
Ankle-brachial index demonstrate severe peripheral arterial disease with claudication symptoms and tissue ischemia.,Ankle-brachial index demonstrated severe peripheral arterial disease with claudication symptoms and tissue ischemia.,"The ankle-brachial index demonstrates severe peripheral arterial disease, characterized by claudication symptoms and tissue ischemia."
The critical care physician initiate continuous renal replacement therapy for acute kidney injury with fluid overload.,The critical care physician initiated continuous renal replacement therapy for acute kidney injury with fluid overload.,The critical care physician initiates continuous renal replacement therapy for acute kidney injury with fluid overload
Spirometry testing show severe obstructive pattern with reduced forced expiratory volume in one second.,Spirometry testing showed severe obstructive pattern with reduced forced expiratory volume in one second.,"Spirometry testing shows a severe obstructive pattern, with reduced forced expiratory volume in one second."
Patient undergo stereotactic radiosurgery using gamma knife for arteriovenous malformation in eloquent brain regions.,The patient underwent stereotactic radiosurgery using gamma knife for arteriovenous malformation in eloquent brain regions.,Patients undergo stereotactic radiosurgery using a gamma knife for the treatment of arteriovenous malformations in eloquent brain regions.
The maternal-fetal medicine specialist detect fetal hydrops and chromosomal abnormalities on detailed ultrasound.,The maternal-fetal medicine specialist detected fetal hydrops and chromosomal abnormalities on detailed ultrasound.,The maternal-fetal medicine specialist detects fetal hydrops and chromosomal abnormalities on detailed ultrasound.
Intraoperative frozen section analysis confirm clear margins during breast-conserving surgery for invasive lobular carcinoma.,Intraoperative frozen section analysis confirmed clear margins during breast-conserving surgery for invasive lobular carcinoma.,Intraoperative frozen-section analysis confirms clear margins during breast-conserving surgery for invasive lobular carcinoma.
The pain management physician perform epidural steroid injection for lumbar radiculopathy with neurogenic claudication.,The pain management physician performed epidural steroid injection for lumbar radiculopathy with neurogenic claudication.,The pain management physicians perform epidural steroid injections for lumbar radiculopathy with neurogenic claudication.
Positron emission tomography-computed tomography scan show hypermetabolic lymphadenopathy consistent with lymphoma recurrence.,Positron emission tomography-computed tomography scan showed hypermetabolic lymphadenopathy consistent with lymphoma recurrence.,Positron emission tomography-computed tomography scans show hypermetabolic lymphadenopathy consistent with lymphoma recurrence.
Patient experience anaphylactic shock following penicillin administration requiring immediate epinephrine and corticosteroid therapy.,The patient experienced anaphylactic shock following penicillin administration requiring immediate epinephrine and corticosteroid therapy.,"Patients experience anaphylactic shock following penicillin administration, which requires immediate epinephrine and corticosteroid therapy."
The pediatric neurologist diagnose Duchenne muscular dystrophy based on elevated creatine kinase and genetic testing.,The pediatric neurologist diagnosed Duchenne muscular dystrophy based on elevated creatine kinase and genetic testing.,The pediatric neurologist diagnoses Duchenne muscular dystrophy based on elevated creatine kinase and genetic testing.
Transesophageal echocardiography reveal mitral valve prolapse with severe regurgitation and left atrial enlargement.,Transesophageal echocardiography revealed mitral valve prolapse with severe regurgitation and left atrial enlargement.,Transesophageal echocardiography reveals mitral valve prolapse with severe regurgitation and left atrial enlargement.
The transplant surgeon evaluate living donor kidney transplantation for end-stage renal disease secondary to polycystic kidney disease.,The transplant surgeon evaluated living donor kidney transplantation for end-stage renal disease secondary to polycystic kidney disease.,The transplant surgeon evaluates living donor kidney transplantation for end-stage renal disease secondary to polycystic kidney disease.
